neo_reference_id,name,absolute_magnitude_h,is_potentially_hazardous,estimated_diameter_km_min,estimated_diameter_km_max,estimated_diameter_km_mean,albedo_estimated,type_from_albedo,density_assumed_kg_m3,mass_min_kg,mass_max_kg,impact_energy_min_Mt,impact_energy_max_Mt,orbital.a_au,orbital.e,orbital.i_deg,orbital.period_days,close_approach.close_approach_date,close_approach.relative_velocity_kms,close_approach.miss_distance_km,close_approach.orbiting_body,nasa_jpl_url,sentry_object
2006037,6037 (1988 EG),18.86,True,0.4493191996,1.004708274,0.7270137368,0.09549150281265788,S-like,3000,142490137895.80966,1593088172760.791,4921.086263371056,55019.41705638965,1.271559002610797,0.4996137169793169,3.510550772285995,523.7248757511283,1907-Sep-02 22:44,10.1965690958,24873142.137397967,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006037,False
2006047,6047 (1991 TB1),17.84,False,0.7187121332,1.607089186,1.1629006596,0.09549150281456148,S-like,3000,583156078570.8018,6519883164798.384,20140.07011316464,225172.82918579504,1.45452208783782,0.3521491926699417,23.47429956949283,640.7356786608442,1935-Oct-19 03:47,21.2944486197,68292739.43384267,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006047,False
2006050,6050 Miwablock (1992 AE),14.94,False,2.7324673204,6.1099826748,4.4212249976,0.09549150281201563,S-like,3000,32046810097950.965,358294229220865.25,1106779.1728379338,12374167.33327319,2.201600627551943,0.4372168172934845,6.405250864420166,1193.180747996403,2011-Sep-02 20:51,6.7073937766,10870276.193712682,Mars,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006050,False
2006053,6053 (1993 BW3),15.1,False,2.5383702936,5.6759685287,4.10716941115,0.09549150281255527,S-like,3000,25691224656281.234,287236623805224.9,887280.583851013,9920098.503789434,2.147146990909803,0.5283946693018893,21.5793485230726,1149.188025238298,1964-Jan-26 07:47,15.7790449015,5710526.697186458,Mars,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006053,False
2006063,6063 Jason (1984 KB),16.02,False,1.6617090174,3.7156943217,2.68870166955,0.09549150281336366,S-like,3000,7207502585502.686,80582328643944.83,248920.6796379393,2783017.8033102364,2.219893511357087,0.7624603112925334,4.961550212957301,1208.082628652495,1901-Aug-24 05:02,29.7121736225,21335019.235155586,Venus,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006063,False
2006178,6178 (1986 DA),15.71,False,1.9167036797,4.2858797205,3.1012917001,0.09549150281037401,S-like,3000,11060755871789.215,123663010056380.75,381997.90235983307,4270866.384595368,2.813736784326152,0.584792624305968,4.314464747708041,1723.945885235755,2038-Apr-07 00:47,4.8577825545,29624429.579756618,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006178,False
2006239,6239 Minos (1989 QF),18.59,True,0.5088092249,1.1377320144,0.82327061965,0.09549150280791603,S-like,3000,206911584708.56836,2313341843365.0215,7145.966536899648,79894.3346955654,1.150984486534324,0.412469459033552,3.941695071021104,451.0270944759817,1900-Aug-23 17:53,18.6113985768,29226839.550791293,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006239,False
2006455,6455 (1992 HE),14.08,False,4.0602705828,9.0790410302,6.5696558065,0.09549150281213567,S-like,3000,105144075526853.69,1175546501553498.0,3631290.371326567,40599060.58185479,2.240271697366355,0.5728900812193168,37.33965930014028,1224.755688355215,,,,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006455,False
2006456,6456 Golombek (1992 OM),16.06,False,1.6313794097,3.6478752572,2.63962733345,0.09549150281518046,S-like,3000,6820006786663.802,76249993911036.94,235537.99729276274,2633394.8661914044,2.193346411779904,0.4088177423476496,8.22223402682738,1186.476852050618,1901-Aug-13 19:05,4.3055698164,64732081.018704765,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006456,False
2006489,6489 Golevka (1991 JX),19.22,True,0.3806755436,0.8512163929,0.6159459682499999,0.09549150282002386,S-like,3000,86653240190.90576,968812677819.601,2992.684801048251,33459.233256436986,2.476775663886083,0.6187571562047618,2.259292857994011,1423.732616671232,1926-Aug-01 11:47,11.7428781705,12929666.158086961,Mars,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006489,False
2006491,6491 (1991 OA),18.72,True,0.4792421155,1.071617948,0.77543003175,0.09549150281314937,S-like,3000,172895944637.3656,1933035426547.1047,5971.19120461265,66759.94721225063,2.504111083129327,0.5920989723391571,6.153287208481672,1447.367486550608,1906-Jun-20 10:50,5.9681897767,21995931.58449278,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2006491,False
